Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,161033,240,310.0,491.20368460018085,1.938408000569325,4845.733223999559,4508.270944464799,368.11899481315805,0.548636358728695,310,500,670,760,930,1100,1300,1500,2300,3700,4800
,Aggregated,161033,240,310.0,491.20368460018085,1.938408000569325,4845.733223999559,4508.270944464799,368.11899481315805,0.548636358728695,310,500,670,760,930,1100,1300,1500,2300,3700,4800
