Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,201407,395,290.0,401.8470203654829,2.8098399998270907,3704.3485600006534,4506.1451687379285,408.3929936949141,0.8009415388218436,290,400,480,540,750,940,1200,1300,1900,2600,3700
,Aggregated,201407,395,290.0,401.8470203654829,2.8098399998270907,3704.3485600006534,4506.1451687379285,408.3929936949141,0.8009415388218436,290,400,480,540,750,940,1200,1300,1900,2600,3700
