Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,403351,118,100.0,128.15337069528826,4.6852619998389855,135268.8727579998,4513.679140500458,904.4186687964809,0.26458693028648683,100,140,160,170,230,410,510,580,1000,1900,135000
,Aggregated,403351,118,100.0,128.15337069528826,4.6852619998389855,135268.8727579998,4513.679140500458,904.4186687964809,0.26458693028648683,100,140,160,170,230,410,510,580,1000,1900,135000
