Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,292543,194,69,143.41810716124107,4.928660000587115,135275.5277770002,4512.005876059246,585.4478729650609,0.3882399761922925,69,130,170,200,320,540,880,1100,1900,2300,135000
,Aggregated,292543,194,69,143.41810716124107,4.928660000587115,135275.5277770002,4512.005876059246,585.4478729650609,0.3882399761922925,69,130,170,200,320,540,880,1100,1900,2300,135000
